Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2024,2024.1,2024.2,2024.3,2024.4,2024.5,2024.6,2024.7,2024.8,2024.9,2024.10,2024.11,2024.12,2024.13,2024.14,2024.15,2024.16
Owen White,25,"6' 3""",199,AAA,TEX,4.1,7.5,46%,10.9%,5.05,411,24,15,93.0,97,14,57,42,77,0.95,5.52,1.49
Bryan Polanco,22,"6' 2""",190,A,WSH,4.4,7.2,78%,8.9%,4.76,403,22,17,93.0,89,11,42,45,74,1.84,4.06,1.44
Felipe De La Cruz,23,"6' 0""",160,A+,NYM,4.0,9.9,43%,12.4%,2.80,409,22,21,93.0,90,2,47,41,102,1.14,4.55,1.41
Jose Montero,21,"6' 2""",193,A,CIN,3.6,8.1,60%,13.1%,3.24,382,23,15,93.0,84,4,30,37,84,0.57,2.90,1.30
Tucker Davidson,28,"6' 2""",215,AAA,BAL,3.4,8.4,49%,10.2%,4.23,402,27,12,92.2,85,12,38,35,86,0.83,3.69,1.29
Manuel Rodriguez,19,"6' 2""",175,A,MIL,1.0,7.3,34%,13.8%,3.68,366,17,17,92.2,81,11,34,10,75,1.80,3.30,0.98
Jose Atencio,22,"5' 11""",165,A+,WSH,2.8,5.9,38%,9.4%,4.53,408,17,17,92.2,109,11,38,29,61,1.08,3.69,1.49
Garrett Baumann,20,"6' 8""",245,A,ATL,2.3,8.2,49%,10.4%,2.71,384,19,18,92.0,85,3,35,23,84,0.84,3.42,1.17
Dylan Carmouche,23,"6' 6""",225,A,SF,4.0,8.8,37%,14.7%,3.21,375,20,17,92.0,78,4,28,41,90,1.41,2.74,1.29
Blake Money,22,"6' 7""",240,A,BAL,2.2,10.4,34%,11.8%,2.49,381,23,12,92.0,75,6,34,22,106,1.39,3.33,1.05
Yeriel Santos,20,"6' 0""",187,A,HOU,4.9,9.6,44%,11.9%,3.86,395,23,13,91.2,69,7,43,50,98,0.99,4.22,1.30
Adonys Perez,20,"6' 3""",185,A,AZ,4.0,8.6,59%,8.1%,4.55,409,20,19,91.2,98,11,61,41,88,0.57,5.99,1.52
Jaden Hamm,21,"6' 1""",190,A+,DET,3.1,11.3,37%,17.0%,2.99,371,22,21,91.0,69,8,27,31,114,1.68,2.67,1.10
Thomas Pannone,30,"6' 0""",209,AAA,CHC,3.2,8.6,44%,11.5%,4.49,396,19,19,90.2,101,14,44,32,87,1.05,4.37,1.47
Brayan Mendoza,20,"6' 0""",155,A,TEX,2.4,9.5,48%,15.2%,2.97,373,22,17,90.2,78,6,22,24,96,0.70,2.18,1.13
Alonzo Richardson,21,"5' 11""",165,A,CLE,3.2,5.9,44%,9.5%,3.78,382,18,15,90.2,83,5,36,32,59,1.23,3.57,1.27
Joe Elbis,21,"6' 1""",150,A+,AZ,2.9,7.5,46%,11.9%,3.36,374,16,16,90.1,74,5,28,29,75,1.06,2.79,1.14
Tanner Tully,29,"6' 2""",205,AAA,NYY,2.3,5.2,35%,6.0%,5.48,398,23,20,90.0,107,18,66,23,52,1.89,6.60,1.44
Travis Sthele,22,"6' 0""",198,A,WSH,4.1,6.7,42%,7.9%,4.16,403,21,19,90.0,100,7,50,41,67,1.05,5.00,1.57
Logan Martin,23,"6' 1""",185,A,KC,2.7,8.7,40%,12.0%,3.24,377,22,14,90.0,83,7,41,27,87,1.41,4.10,1.22
Francis Texido,19,"6' 2""",180,A,LAA,7.4,9.8,35%,10.5%,4.60,435,23,22,89.2,97,6,68,74,98,2.00,6.83,1.91
Adam Kloffenstein,24,"6' 5""",245,AAA,STL,4.1,7.4,49%,11.7%,5.14,376,17,17,89.1,78,13,47,41,73,0.88,4.74,1.33
Karson Milbrandt,20,"6' 2""",190,A+,MIA,5.3,8.6,45%,12.7%,3.97,395,20,20,89.1,76,5,40,53,85,1.00,4.03,1.44
Matt Duffy,22,"6' 2""",205,A,BOS,2.6,8.7,35%,11.8%,3.48,368,20,19,89.1,75,8,31,26,86,1.26,3.12,1.13
John Klein,22,"6' 5""",225,A+,MIN,3.7,7.9,35%,11.4%,4.18,396,20,18,89.1,91,9,49,37,78,1.40,4.94,1.43
Jason Savacool,22,"6' 1""",210,A,STL,4.7,7.2,51%,10.5%,4.20,370,20,16,89.1,70,6,36,47,71,0.71,3.63,1.31
Jackson Wolf,25,"6' 7""",205,AAA,SD,5.8,7.7,38%,11.0%,5.52,432,26,18,89.0,110,13,70,57,76,1.06,7.08,1.88
