,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2024,2024.1,2024.2,2024.3,2024.4,2024.5,2024.6,2024.7,2024.8,2024.9,2024.10,2024.11,2024.12,2024.13,2024.14,2024.15,2024.16
144,Jeff Criswell,25,"6' 4""",225,AAA,COL,4.4,13.0,27%,11.3%,5.00,277,35,-,57.2,75,14,40,28,83,1.90,6.24,1.79
145,Michael Plassmeyer,27,"6' 2""",197,AAA,PIT,1.7,11.6,30%,12.5%,3.66,259,22,10,57.1,73,9,50,11,74,1.91,7.85,1.47
146,Oddanier Mosqueda,25,"5' 10""",187,AAA,NYY,4.9,11.7,51%,11.6%,4.10,246,44,-,57.0,40,7,26,31,74,0.81,4.11,1.25
147,Connor Phillips,23,"6' 2""",209,AAA,CIN,7.9,8.4,41%,7.7%,7.71,296,14,14,57.0,79,15,64,50,53,1.04,10.11,2.26
148,Michael Mercado,25,"6' 4""",205,AAA,PHI,4.9,8.3,44%,12.2%,4.09,234,22,10,56.2,39,4,13,31,52,1.27,2.06,1.24
149,Hogan Harris,27,"6' 3""",230,AAA,OAK,6.2,10.3,45%,9.9%,4.98,270,13,13,56.2,63,8,40,39,65,1.00,6.35,1.80
150,Taylor Widener,29,"6' 0""",203,AAA,ATL,4.8,9.4,26%,10.0%,5.51,266,22,11,56.2,64,11,41,30,59,1.70,6.51,1.66
151,Brady Basso,26,"6' 2""",213,AAA,OAK,3.2,10.8,31%,12.7%,5.09,253,14,10,56.2,65,14,38,20,68,1.00,6.04,1.50
152,Nick Raquet,28,"6' 0""",215,AAA,STL,4.2,8.0,52%,9.7%,4.88,259,23,4,56.1,66,8,34,26,50,0.92,5.43,1.63
153,Player,Age,Ht.,Wt.,Lvl.,Org,BB/9,K/9,GB%,SwSt%,FIP,BF,G,GS,IP,H,HR,ER,BB,K,GO/AO,ERA,WHIP
154,Ricardo Pinto,30,"6' 0""",195,AAA,PHI,4.5,6.4,57%,6.8%,5.23,258,16,6,56.1,67,8,33,28,40,0.59,5.27,1.69
155,Joe La Sorsa,26,"6' 5""",232,AAA,WSH,1.8,6.6,62%,9.1%,4.11,225,42,-,56.0,45,7,14,11,41,0.69,2.25,1.00
156,Chad Kuhl,31,"6' 3""",200,AAA,CWS,5.3,6.8,47%,10.0%,4.84,243,13,11,56.0,51,5,27,33,42,0.53,4.34,1.50
157,Naoyuki Uwasawa,30,"6' 1""",194,AAA,BOS,5.6,7.2,34%,10.7%,5.41,263,18,6,56.0,63,7,45,35,45,1.11,7.23,1.75
158,Ben Casparius,25,"6' 2""",215,AAA,LAD,4.7,9.8,31%,8.6%,3.66,237,13,13,56.0,39,4,22,29,61,2.18,3.54,1.21
