Player,Age,Ht.,Wt.,Lvl.,Org,BB/9,K/9,GB%,SwSt%,FIP,BF,G,GS,IP,H,HR,ER,BB,K,GO/AO,ERA,WHIP
Ryan Cusick,24,"6' 6""",235,AAA,OAK,8.3,4.2,-,-,6.62,28,2,-,4.1,8,0,5,4,2,0.33,10.38,2.77
Jakob Junis,31,"6' 3""",238,AAA,MIL,4.2,8.3,-,-,2.71,16,2,2,4.1,1,0,1,2,4,1.25,2.08,0.69
Jamison Hill,25,"6' 1""",180,AAA,AZ,8.3,4.2,-,-,11.49,22,1,1,4.1,5,2,5,4,2,2.67,10.38,2.08
Gerrit Cole,33,"6' 4""",220,AAA,NYY,0.0,20.8,-,-,0.0,16,1,1,4.1,2,0,0,0,10,3.0,0.0,0.46
Nick Anderson,34,"6' 4""",205,AAA,LAD,6.2,10.4,100%,10.0%,6.13,18,3,-,4.1,3,1,1,3,5,0.17,2.08,1.38
Sam Benschoter,26,"6' 3""",215,AAA,CIN,4.2,2.1,-,-,4.18,22,1,-,4.1,8,0,5,2,1,1.2,10.38,2.31
Trevor Rogers,26,"6' 5""",217,AAA,BAL,6.2,4.2,-,-,7.59,25,1,1,4.1,9,1,10,3,2,0.57,20.77,2.77
Tyson Miller,29,"6' 5""",220,AAA,SEA,4.5,13.5,38%,19.7%,1.7,16,4,-,4.0,3,0,1,2,6,1.5,2.25,1.25
Joe Jacques,29,"6' 4""",210,AAA,BOS,13.5,15.8,72%,1.9%,4.2,25,4,-,4.0,8,0,7,6,7,1.0,15.75,3.5
Mitchell Parker,24,"6' 4""",239,AAA,WSH,2.3,11.3,0%,12.3%,1.45,15,1,1,4.0,1,0,0,1,5,7.0,0.0,0.5
Sean Hjelle,27,"6' 11""",228,AAA,SF,0.0,13.5,71%,12.1%,0.95,14,3,-,4.0,2,0,0,0,6,0.0,0.0,0.5
Ian Gibaut,30,"6' 3""",250,AAA,CIN,11.3,13.5,46%,12.6%,8.7,24,5,-,4.0,6,1,5,5,6,0.67,11.25,2.75
Brendan Cellucci,26,"6' 4""",211,AAA,BOS,9.0,6.8,40%,14.3%,4.7,17,2,-,4.0,3,0,1,4,3,1.33,2.25,1.75
Yolmer Sánchez,32,"5' 9""",210,AAA,NYM,2.3,0.0,50%,0.0%,7.2,21,5,-,4.0,7,1,3,1,0,0.63,6.75,2.0
Drew Smith,30,"6' 2""",190,AAA,NYM,2.3,2.3,50%,11.5%,6.7,17,4,-,4.0,5,1,4,1,1,0.67,9.0,1.5
Ryan Brown,23,"6' 2""",219,AAA,OAK,6.8,9.0,0%,4.3%,8.2,22,3,-,4.0,5,1,4,3,4,3.0,9.0,2.0
Shane Drohan,25,"6' 3""",195,AAA,CWS,9.0,11.3,-,-,3.7,20,5,-,4.0,4,0,4,4,5,1.33,9.0,2.0
Giovanny Gallegos,33,"6' 2""",205,AAA,STL,4.5,6.8,-,-,12.95,18,4,1,4.0,5,3,5,2,3,1.67,11.25,1.75
Shane Murphy,23,"6' 5""",210,AAA,CWS,9.0,2.3,-,-,12.2,21,1,1,4.0,5,2,8,4,1,1.75,18.0,2.25
Jason Ruffcorn,26,"6' 2""",225,AAA,SEA,6.8,4.5,-,-,4.45,15,2,-,4.0,2,0,0,3,2,0.6,0.0,1.25
